smiles	valid_action_count	positive_delta_count	positive_action_fraction	best_delta_qed
Cc1[nH]c(N)nc1CCC(O)c1cc(F)cc(F)c1	2	2	1.0	0.05008369908328181
O=Cc1ccc(C(=O)O)c(O)c1	2	2	1.0	0.14834580421881105
CC(C)(O)C1C=CC(=O)CC1	2	0	0.0	-0.0007432964591650437
CC(F)(F)C1(CN)CC1	1	0	0.0	-0.07468822929944108
OCC1C2CCCCC12	3	0	0.0	-0.006864973706567912
Sc1ncnc2cc(-c3ccc(Br)cc3)sc12	1	1	1.0	0.012804888959198624
CC1COCCN1CCN	1	0	0.0	-0.0871869692035464
OCC1CC2CCC1N2	3	2	0.6666666666666666	0.0938016259796074
Brc1ccc2cn[nH]c2c1	1	0	0.0	-0.08304660356981053
Cc1ccc(C(O)c2cncn2C)cn1	2	0	0.0	-0.015520057753010796
O=C(O)c1cc(COc2ccc(Cl)cc2Cl)on1	1	0	0.0	-0.011736264051265377
O=Cc1c[nH]nc1-c1ccc(Br)cc1	1	0	0.0	-0.08818027854745658
O=C(O)CCNC(=O)c1ccc(F)cc1	3	3	1.0	0.04258420893534809
CCCC1CCCCC1O	2	0	0.0	-0.024964761986598583
CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O	2	0	0.0	-0.1029641560221799
O=C(O)Cc1cc(=O)n(-c2ccc(F)cc2)[nH]1	3	3	1.0	0.01659724699513354
Cc1nn(CC(=O)O)c(C)c1Cl	3	2	0.6666666666666666	0.07536802578707746
NCc1ccc(OCc2ccccc2)cc1	1	0	0.0	-0.06957222756621118
NCC(C1CCC1)C1CCC1	1	0	0.0	-0.06846736922716734
CC(Br)C(=O)C(F)(F)F	1	1	1.0	0.06936355231097413
NCC1(CO)CC2CC2C1	3	3	1.0	0.09840146147178608
Clc1ccc2sc(CBr)nc2c1	1	1	1.0	0.02050201197796675
CC(=O)Nc1cccc(CC(=O)O)c1	3	3	1.0	0.06923483007781062
O=C(O)Cc1csc(N2CCCC2=O)n1	3	2	0.6666666666666666	0.03363055030660522
CC1CC1c1ccc(C2CC2C(=O)O)o1	3	2	0.6666666666666666	0.041558134086547516
N#Cc1ccc(Cl)cc1NCC1CCOC1	1	0	0.0	-0.022220456217838636
O=C1N(Cc2ccccc2)CC(O)CC12CCOCC2	2	0	0.0	-0.10630070319007379
O=C1OCc2ccc(Br)cc21	1	0	0.0	-0.08195622067349173
CC1=NN(C)C(=O)C1CC(=O)O	3	2	0.6666666666666666	0.0852518731559685
CC(C)(CO)ON	3	2	0.6666666666666666	0.021894301298216512
O=C(NC(C(=O)O)c1cc(F)ccc1F)OCC1c2ccccc2-c2ccccc21	1	0	0.0	-0.08311655116846939
NCC(O)c1cccc(O)c1	3	3	1.0	0.20992478298997808
